,Source,Heading,Category,Date,Time,URL,Text,Category_predicted,weights
0,Science Daily,"Router Guest Networks Lack Adequate Security, Experts Say",Health,2019-08-15,-,https://www.sciencedaily.com/releases/2019/08/190815081258.htm,"   According to Adar Ovadya, a master's student in BGU's Department of Software and Information Systems Engineering, ""all of the routers we surveyed regardless of brand or price point were vulnerable to at least some cross-network communication once we used specially crafted network packets. A hardware-based solution seems to be the safest approach to guaranteeing isolation between secure and non-secure network devices."" The BGU research was presented at the 13th USENIX Workshop on Offensive Technologies (WOOT) in Santa Clara this week. Most routers sold today offer consumers two or more network options -- one for the family, which may connect all the sensitive smart home and IoT devices and computers, and the other for visitors or less sensitive data. In an organization, data traffic sent may include mission-critical business documents, control data for industrial systems, or private medical information. Less sensitive data may include multimedia streams or environmental sensor readings. Network separation and network isolation are important components of the security policy of many organizations if not mandated as standard practice, for example, in hospitals. The goal of these policies is to prevent network intrusions and information leakage by separating sensitive network segments from other segments of the organizational network, and indeed from the general internet. In the paper, the researchers demonstrated the existence of different levels of cross-router covert channels which can be combined and exploited to either control a malicious implant, or to exfiltrate or steal the data. In some instances, these can be patched as a simple software bug, but more pervasive covert cross-channel communication is impossible to prevent, unless the data streams are separated on different hardware. The USENIX Workshop on Offensive Technologies (WOOT) aims to present a broad picture of offense and its contributions, bringing together researchers and practitioners in all areas of computer security. WOOT provides a forum for high-quality, peer-reviewed work discussing tools and techniques for attack. All vulnerabilities were previously disclosed to the manufacturers. This research was supported by Israel Science Foundation grants 702/16 and 703/16. Adar Ovadya is co-supervised by Dr. Yossi Oren, a senior lecturer in BGU's Department of Software and Information Systems Engineering and head of the Implementation Security and Side-Channel Attacks Lab at Cyber@BGU, and Dr. Niv Gilboa, from BGU's Department of Communication Systems Engineering. Also contributing to the research were BGU graduate student Rom Ogen and undergraduate student Yakov Mallah. ",Computer Science,0.17977298645195508
1,ACM,Trilce Estrada Wins 2019 ACM SIGHPC Emerging Woman Leader in Technical Computing Award,ACM,2019-08-06,-,https://cmns.umd.edu/news-events/features/4470,"    Seeing How Computers 'Think' Helps Humans Stump Machines     University of MarylandAugust 6, 2019   University of Maryland (UMD) researchers have developed a technique for reliably generating questions that challenge computers, and mirror the complexity of human language via human-computer collaboration. The researchers invented an interface that shows words the computer uses as a basis for its guesses as a person types a question, then edits the question to exploit weaknesses. The researchers compiled a dataset of 1,213 questions that humans can easily answer, yet are beyond the capabilities of the best modern computer-answering systems. UMD's Jordan Boyd-Graber said tests on the dataset ""will reveal if a computer language system is actually reading and doing the same sorts of processing that humans are able to do."" A computer that masters these questions will be better enabled to understand language than any current system, and the dataset also could be used to train improved machine learning algorithms.                 ",Computer Science,0.17693232636357764
2,Stanford,Atomically thin heat shield protects electronics,Science,2019-08-18,-,https://news.stanford.edu/2019/08/16/atomically-thin-heat-shield-protects-electronics/,"   Excess heat given off by smartphones, laptops and other electronic devices can be annoying, but beyond that it contributes to malfunctions and, in extreme cases, can even cause lithium batteries to explode.  This greatly magnified image shows four layers of atomically thin materials that form a heat-shield just two to three nanometers thick, or roughly 50,000 times thinner than a sheet of paper. (Image credit: National Institute of Standards and Technology)  To guard against such ills, engineers often insert glass, plastic or even layers of air as insulation to prevent heat-generating components like microprocessors from causing damage or discomforting users. Now, Stanford researchers have shown that a few layers of atomically thin materials, stacked like sheets of paper atop hot spots, can provide the same insulation as a sheet of glass 100 times thicker. In the near term, thinner heat shields will enable engineers to make electronic devices even more compact than those we have today, said Eric Pop, professor of electrical engineering and senior author of a paper published Aug. 16 in Science Advances. “We’re looking at the heat in electronic devices in an entirely new way,” Pop said. Detecting sound as heat The heat we feel from smartphones or laptops is actually an inaudible form of high-frequency sound. If that seems crazy, consider the underlying physics. Electricity flows through wires as a stream of electrons. As these electrons move, they collide with the atoms of the materials through which they pass. With each such collision an electron causes an atom to vibrate, and the more current flows, the more collisions occur, until electrons are beating on atoms like so many hammers on so many bells – except that this cacophony of vibrations moves through the solid material at frequencies far above the threshold of hearing, generating energy that we feel as heat. Thinking about heat as a form of sound inspired the Stanford researchers to borrow some principles from the physical world. From his days as a radio DJ at Stanford’s KZSU 90.1 FM, Pop knew that music recording studios are quiet thanks to thick glass windows that block the exterior sound. A similar principle applies to the heat shields in today’s electronics. If better insulation were their only concern, the researchers could simply borrow the music studio principle and thicken their heat barriers. But that would frustrate efforts to make electronics thinner. Their solution was to borrow a trick from homeowners, who install multi-paned windows – usually, layers of air between sheets of glass with varying thickness – to make interiors warmer and quieter. “We adapted that idea by creating an insulator that used several layers of atomically thin materials instead of a thick mass of glass,” said postdoctoral scholar Sam Vaziri, the lead author on the paper. Atomically thin materials are a relatively recent discovery. It was only 15 years ago that scientists were able to isolate some materials into such thin layers. The first example discovered was graphene, which is a single layer of carbon atoms and, ever since it was found, scientists have been looking for, and experimenting with, other sheet-like materials. The Stanford team used a layer of graphene and three other sheet-like materials – each three atoms thick – to create a four-layered insulator just 10 atoms deep. Despite its thinness, the insulator is effective because the atomic heat vibrations are dampened and lose much of their energy as they pass through each layer. To make nanoscale heat shields practical, the researchers will have to find some mass production technique to spray or otherwise deposit atom-thin layers of materials onto electronic components during manufacturing. But behind the immediate goal of developing thinner insulators looms a larger ambition: Scientists hope to one day control the vibrational energy inside materials the way they now control electricity and light. As they come to understand the heat in solid objects as a form of sound, a new field of phononics is emerging, a name taken from the Greek root word behind telephone, phonograph and phonetics. “As engineers, we know quite a lot about how to control electricity, and we’re getting better with light, but we’re just starting to understand how to manipulate the high-frequency sound that manifests itself as heat at the atomic scale,” Pop said. Eric Pop is an affiliate of the Precourt Institute for Energy. Stanford authors include former postdoctoral scholars Eilam Yalon and Miguel Muñoz Rojo, and graduate students Connor McClellan, Connor Bailey, Kirby Smithe, Alexander Gabourie, Victoria Chen, Sanchit Deshmukh and Saurabh Suryavanshi. Other authors are from Theiss Research and the National Institute of Standards and Technology. This research was supported by the Stanford Nanofabrication Facility, the Stanford Nano Shared Facilities, the National Science Foundation, the Semiconductor Research Corporation, the Defense Advanced Research Projects Agency, the Air Force Office of Scientific Research, the Stanford SystemX Alliance, the Knut and Alice Wallenberg Foundation, the Stanford Graduate Fellowship program and the National Institute of Standards and Technology. To read all stories about Stanford science, subscribe to the biweekly Stanford Science Digest. ",Electronics and Technology,0.17149668539278956
3,Science Daily,Nylon as a Building Block for Transparent Electronic Devices?,Computers & Math,2019-08-16,-,https://www.sciencedaily.com/releases/2019/08/190816191445.htm,"   Besides the use in textiles, it was discovered that some nylons also exhibit so called ""ferroelectric properties."" This means that positive and negative electric charges can be separated and this state can be maintained. The ferroelectric materials are used in sensors, actuators, memories and energy harvesting devices. The advantage in using polymers is that they can be liquified using adequate solvents and therefore processed from solution at low cost to form flexible thin-films which are suitable for electronic devices such as capacitors, transistors and diodes. This makes ferroelectric polymers a viable choice for integration with e-textiles. Although nylon polymers have found over the years significant commercial applications in fabrics and fibers, their application in electronic devices was hindered because it was impossible to create high quality thin films of ferroelectric nylons by solution processing. Scientists at the MPI-P, in collaboration with researchers from the Johannes Gutenberg University of Mainz and Lodz University of Technology, have now solved this forty year old problem, and developed a method to fabricate ferroelectric nylon thin-film capacitors by dissolving nylon in a mixture of trifluoroacetic acid and acetone and solidifying it again in vacuum. They were able to realize thin nylon films that are typically only a few 100 nanometers thick, several 100 times thinner than human hair. ""Using this method, we have produced extremely smooth thin-films. This is very important because it prevents electrical break down of for example capacitors and destroying the electronic circuits. At the same time, the smoothness allows for having transparent thin-films and eventually transparent electronic devices,"" says Dr. Kamal Asadi, group leader at the MPI-P. By using their newly developed method, the group around Kamal Asadi was able to produce high performance nylon capacitors. The scientists subjected the prototypes of the capacitors to extended stress cycles and demonstrated robustness of ferroelectric nylons under millions of operation cycles. The thin nylon films could become an important component for use in flexible electronics in the future and find applications in bendable electronic devices or for electronics in clothing. These new findings pave the way towards multi-functional fabrics that serve as cloth for covering our body and at the same time can generate electricity from our body movement. ",Electronics and Technology,0.1698865869557979
4,Science Daily,New 3D Interconnection Technology for Future Wearable Bioelectronics,Computers & Math,2019-08-15,-,https://www.sciencedaily.com/releases/2019/08/190815081308.htm,"   Though they were supposed to feel like a second skin of the wearer, it has been technically impossible to devise ""wearable"" devices that are comfortable to bend and stretch and also keep good data recording capabilities on soft and curved skin. Wearable smart devices gather a person's bio measurements by connecting electrodes to the surface of the skin. Inside the device are 3D-shaped electrode wirings (i.e. interconnects) that transmit electrical signals. To date, not only can the wirings only be formed on a hard surface, but also the components of such interconnects delicate and hardly-stretchable metals such as gold, copper, and aluminum. In a paper published today in the journal Nano Letters, the joint research team led by Prof. Jang-Ung Park at the Center for Nanomedicine within the Institute for Basic Science (IBS) in Daejeon, South Korea, and Prof. Chang Young Lee at the Ulsan National Institute of Science and Technology (UNIST) in Ulsan, South Korea reported fully-transformable electrode materials that also feature a high electric conductivity. Notably, this novel composite is super-thin, 5 micrometers in diameter, which is half of the width of conventional wire bonding. By enabling ever-slimmer 3D interconnects, this study can help to revolutionize the physical appearance of smart gadgets, in addition to reinforcing their technical functions. The research team used liquid metals (LM) as the main substrate since LMs are highly stretchable and have relatively high conductivities similar to solid metals. To improve the mechanical stability of the metal liquid, carbon nanotubes (CNT) were dispersed uniformly. ""To have a uniform and homogeneous dispersion of CNTs in liquid metal, we selected platinum (Pt), for having a strong affinity to both CNT and LM, as the mixer and it worked,"" said Young-Geun Park, the first author of the study. This study also demonstrated a new interconnection technology that can form a highly conductive 3D structure at room temperature: For having a high conductivity, the new system does not require any heating or compressing process. Also the soft and stretchable nature of the new electrode makes it easy to come through the nozzle in a fine diameter. The research team used a nozzle for the direct printing of various 3D patterning structure. Park explains, ""Forming high-conductivity 3D interconnections at room temperature is an essential technology that enables the use of various flexible electronic materials. The wire bonding technology used in existing electronic devices forms interconnects using heat, pressure, or ultrasonic waves that can damage soft, skin-like devices. They have been a great challenge in the manufacturing process of high-performance electronic devices."" He noted that the pointed nozzle also allows reshaping of the preprinted pattern into various 3D structure, thus having an electrode work like a ""switch"" to turn on and off power. Using the direct printing method, the high-resolution 3D printing of this composite forms free-standing, wire-like interconnects. This new stretchable 3D electrical interconnections specifically consist of super-thin wires, as fine as 5 micrometers. Previous studies on stretchable metals have only been able to present wire lines of several hundred micrometers in diameter. The new system is even thinner than the interconnect of conventional wire bonding. Professor Jang-Ung Park, the corresponding author of the study noted, ""We may soon be able to say goodbye to those bulky skin-based interfaces as this freely-transformable, super-thin 3D interconnection technology will come as a big breakthrough to the industry's efforts to produce ever compact and slim gadgets."" Blurring the boundary between the human body and electric devices, this new technology will facilitate the production of more integrated and higher-performing semiconductor components for use in existing computers and smartphones, as well as for flexible and stretchable electronic devices."" ",Electronics and Technology,0.16521577076675462
5,Science Daily,Optofluidic Chip With Nanopore 'Smart Gate' Developed for Single Molecule Analysis,Computers & Math,2019-08-16,-,https://www.sciencedaily.com/releases/2019/08/190816075535.htm,"   In a paper published August 16 in Nature Communications, the researchers reported using the device to control the delivery of individual biomolecules -- including ribosomes, DNA, and proteins -- into a fluid-filled channel on the chip. They also showed that the device can be used to sort different types of molecules, enabling selective analysis of target molecules from a mixture. The capabilities of the programmable nanopore-optofluidic device point the way toward a novel research tool for high-throughput single-molecule analysis on a chip, said Holger Schmidt, the Kapany Professor of Optoelectronics at UC Santa Cruz and corresponding author of the paper. ""We can bring a single molecule into a fluidic channel where it can then be analyzed using integrated optical waveguides or other techniques,"" Schmidt said. ""The idea is to introduce a particle or molecule, hold it in the channel for analysis, then discard the particle, and easily and rapidly repeat the process to develop robust statistics of many single-molecule experiments."" The new device builds on previous work by Schmidt's lab and his collaborator Aaron Hawkins' group at Brigham Young University to develop optofluidic chip technology combining microfluidics (tiny channels for handling liquid samples on a chip) with integrated optics for optical analysis of single molecules. The addition of nanopores allows controlled delivery of molecules into the channel, as well as the opportunity to analyze the electrical signal produced as a molecule passes through the pore. This latest work was led by first author Mahmudur Rahman, a graduate student in Schmidt's lab at UC Santa Cruz. Nanopore technology has been successfully used in DNA sequencing applications, and Schmidt and other researchers have been exploring new ways to exploit the information in the signals produced as molecules or particles translocate through a nanopore. With the feedback control system (a microcontroller and solid-state relay) in the new device, real-time analysis of the current turns the nanopore into a ""smart gate"" that can be programmed by the user to deliver molecules into the channel in a predetermined manner. The gate can be closed as soon as a single molecule (or any number set by the user) has passed through, and opened again after a set time. ""The use of nanopores as 'smart gates' is a key step toward a single-molecule analysis system that is user-friendly and can work at high throughput,"" Schmidt said. ""It allows user-programmable control over the number of molecules that are being delivered to a fluidic channel for further analysis or processing, selective gating of different types of single molecules, and the ability to deliver single molecules into a chip at record rates of many hundreds per minute."" Using bacterial (70S) ribosomes, the researchers demonstrated controlled delivery of more than 500 ribosomes per minute. Coauthor Harry Noller, the Sinsheimer Professor of Molecular Biology at UC Santa Cruz, has done pioneering research on the structure and function of ribosomes, the molecular machines that synthesize proteins in all living cells, and has been collaborating with Schmidt's group since 2006. The researchers also used a mixture of DNA and ribosomes to show the device's capacity to selectively activate the gating function for a target molecule (in this case, DNA). This can enable, for example, fluorescence experiments on a controlled number of target molecules, while unlabeled particles are ignored and discarded. Selective gating could also be used for purification or sorting of different particles downstream from the nanopore, based on the signals as the particles pass through the nanopore, Schmidt said. The programmable system allows flexibility for a wide range of potential applications, he said. ",Electronics and Technology,0.16318427684269418
6,Science Daily,Wireless Sensors That Stick to the Skin to Track Our Health,Health,2019-08-16,-,https://www.sciencedaily.com/releases/2019/08/190816092424.htm,"   Now, Stanford engineers have developed a way to detect physiological signals emanating from the skin with sensors that stick like band-aids and beam wireless readings to a receiver clipped onto clothing. To demonstrate this wearable technology, the researchers stuck sensors to the wrist and abdomen of one test subject to monitor the person's pulse and respiration by detecting how their skin stretched and contracted with each heartbeat or breath. Likewise, stickers on the person's elbows and knees tracked arm and leg motions by gauging the minute tightening or relaxation of the skin each time the corresponding muscle flexed. Zhenan Bao, the chemical engineering professor whose lab described the system in an Aug. 15 article in Nature Electronics, thinks this wearable technology, which they call BodyNet, will first be used in medical settings such as monitoring patients with sleep disorders or heart conditions. Her lab is already trying to develop new stickers to sense sweat and other secretions to track variables such as body temperature and stress. Her ultimate goal is to create an array of wireless sensors that stick to the skin and work in conjunction with smart clothing to more accurately track a wider variety of health indicators than the smart phones or watches consumers use today. ""We think one day it will be possible to create a full-body skin-sensor array to collect physiological data without interfering with a person's normal behavior,"" said Bao, who is also the K.K. Lee Professor in the School of Engineering. Stretchable, comfortable, functional Postdoctoral scholars Simiao Niu and Naoji Matsuhisa led the 14-person team that spent three years designing the sensors. Their goal was to develop a technology that would be comfortable to wear and have no batteries or rigid circuits to prevent the stickers from stretching and contracting with the skin. Their eventual design met these parameters with a variation of the RFID -- radiofrequency identification -- technology used to control keyless entry to locked rooms. When a person holds an ID card up to an RFID receiver, an antenna in the ID card harvests a tiny bit of RFID energy from the receiver and uses this to generate a code that it then beams back to the receiver. The BodyNet sticker is similar to the ID card: It has an antenna that harvests a bit of the incoming RFID energy from a receiver on the clothing to power its sensors. It then takes readings from the skin and beams them back to the nearby receiver. But to make the wireless sticker work, the researchers had to create an antenna that could stretch and bend like skin. They did this by screen-printing metallic ink on a rubber sticker. However, whenever the antenna bent or stretched, those movements made its signal too weak and unstable to be useful. To get around this problem, the Stanford researchers developed a new type of RFID system that could beam strong and accurate signals to the receiver despite constant fluctuations. The battery-powered receiver then uses Bluetooth to periodically upload data from the stickers to a smartphone, computer or other permanent storage system. The initial version of the stickers relied on tiny motion sensors to take respiration and pulse readings. The researchers are now studying how to integrate sweat, temperature and other sensors into their antenna systems. To move their technology beyond clinical applications and into consumer-friendly devices, the researchers need to overcome another challenge -- keeping the sensor and receiver close to each other. In their experiments, the researchers clipped a receiver on clothing just above each sensor. One-to-one pairings of sensors and receivers would be fine in medical monitoring, but to create a BodyNet that someone could wear while exercising, antennas would have to be woven into clothing to receive and transmit signals no matter where a person sticks a sensor. ",Electronics and Technology,0.15863327635776098
7,Science Daily,Attackers Could Be Listening to What You Type,Health,2019-08-14,-,https://www.sciencedaily.com/releases/2019/08/190814105223.htm,"   Researchers from SMU's Darwin Deason Institute for Cybersecurity found that acoustic signals, or sound waves, produced when we type on a computer keyboard can successfully be picked up by a smartphone. The sounds intercepted by the phone can then be processed, allowing a skilled hacker to decipher which keys were struck and what they were typing. The researchers were able to decode much of what was being typed using common keyboards and smartphones -- even in a noisy conference room filled with the sounds of other people typing and having conversations. ""We were able to pick up what people are typing at a 41 percent word accuracy rate. And we can extend that out -- above 41 percent -- if we look at, say, the top 10 words of what we think it might be,"" said Eric C. Larson, one of the two lead authors and an assistant professor in SMU Lyle School's Department of Computer Science. The study was published in the June edition of the journal Interactive, Mobile, Wearable and Ubiquitous Technologies. Co-authors of the study are Tyler Giallanza, Travis Siems, Elena Sharp, Erik Gabrielsen and Ian Johnson -- all current or former students at the Deason Institute. It might take only a couple of seconds to obtain information on what you're typing, noted lead author Mitch Thornton, director of SMU's Deason Institute and professor of electrical and computer engineering. ""Based on what we found, I think smartphone makers are going to have to go back to the drawing board and make sure they are enhancing the privacy with which people have access to these sensors in a smartphone,"" Larson said. The researchers wanted to create a scenario that would mimic what might happen in real life. So they arranged several people in a conference room, talking to each other and taking notes on a laptop. Placed on the same table as their laptop or computer, were as many as eight mobile phones, kept anywhere from three inches to several feet feet away from the computer, Thornton said. Study participants were not given a script of what to say when they were talking, and were allowed to use shorthand or full sentences when typing. They were also allowed to either correct typewritten errors or leave them, as they saw fit. ""We were looking at security holes that might exist when you have these 'always-on' sensing devices -- that being your smartphone,"" Larson said. ""We wanted to understand if what you're typing on your laptop, or any keyboard for that matter, could be sensed by just those mobile phones that are sitting on the same table. ""The answer was a definite, ""Yes."" But just how does it work? ""There are many kinds of sensors in smartphones that cause the phone to know its orientation and to detect when it is sitting still on a table or being carried in someone's pocket. Some sensors require the user to give permission to turn them on, but many of them are always turned on,"" Thornton explained. ""We used sensors that are always turned on, so all we had to do was develop a new app that processed the sensor output to predict the key that was pressed by a typist."" There are some caveats, though. ""An attacker would need to know the material type of the table,"" Larson said, because different tables create different sound waves when you type. For instance, a wooden table like the kind used in this study sounds different than someone typing on a metal tabletop. Larson said, ""An attacker would also need a way of knowing there are multiple phones on the table and how to sample from them."" A successful interception of this sort could potentially be very scary, Thornton noted, because ""there's no way to know if you're being hacked this way."" The Deason Institute is part of SMU's Lyle School of Engineering, and its mission is to to advance the science, policy, application and education of cyber security through basic and problem-driven, interdisciplinary research. ",Computer Science,0.15854306253066233
8,Stanford,Wireless sensors stick to skin and track health,Science,2019-08-18,-,https://news.stanford.edu/2019/08/16/wireless-sensors-stick-skin-track-health/,"   We tend to take our skin’s protective function for granted, ignoring its other roles in signaling subtleties like a fluttering heart or a flush of embarrassment.  Using metallic ink, researchers screen-print an antenna and sensor onto a stretchable sticker designed to adhere to skin and track pulse and other health indicators, and beam these readings to a receiver on a person’s clothing. (Image credit: Bao Lab)  Now, Stanford engineers have developed a way to detect physiological signals emanating from the skin with sensors that stick like band-aids and beam wireless readings to a receiver clipped onto clothing. To demonstrate this wearable technology, the researchers stuck sensors to the wrist and abdomen of one test subject to monitor the person’s pulse and respiration by detecting how their skin stretched and contracted with each heartbeat or breath. Likewise, stickers on the person’s elbows and knees tracked arm and leg motions by gauging the minute tightening or relaxation of the skin each time the corresponding muscle flexed. Zhenan Bao, the chemical engineering professor whose lab described the system in an Aug. 15 article in Nature Electronics, thinks this wearable technology, which they call BodyNet, will first be used in medical settings such as monitoring patients with sleep disorders or heart conditions. Her lab is already trying to develop new stickers to sense sweat and other secretions to track variables such as body temperature and stress. Her ultimate goal is to create an array of wireless sensors that stick to the skin and work in conjunction with smart clothing to more accurately track a wider variety of health indicators than the smart phones or watches consumers use today. “We think one day it will be possible to create a full-body skin-sensor array to collect physiological data without interfering with a person’s normal behavior,” said Bao, who is also the K.K. Lee Professor in the School of Engineering. Stretchable, comfortable, functional Postdoctoral scholars Simiao Niu and Naoji Matsuhisa led the 14-person team that spent three years designing the sensors. Their goal was to develop a technology that would be comfortable to wear and have no batteries or rigid circuits to prevent the stickers from stretching and contracting with the skin. Their eventual design met these parameters with a variation of the RFID – radiofrequency identification – technology used to control keyless entry to locked rooms. When a person holds an ID card up to an RFID receiver, an antenna in the ID card harvests a tiny bit of RFID energy from the receiver and uses this to generate a code that it then beams back to the receiver.  The rubber sticker attached to the wrist can bend and stretch as the person’s skin moves, beaming pulse readings to a receiver clipped to the person’s clothing. (Image credit: Bao Lab)  The BodyNet sticker is similar to the ID card: It has an antenna that harvests a bit of the incoming RFID energy from a receiver on the clothing to power its sensors. It then takes readings from the skin and beams them back to the nearby receiver. But to make the wireless sticker work, the researchers had to create an antenna that could stretch and bend like skin. They did this by screen-printing metallic ink on a rubber sticker. However, whenever the antenna bent or stretched, those movements made its signal too weak and unstable to be useful. To get around this problem, the Stanford researchers developed a new type of RFID system that could beam strong and accurate signals to the receiver despite constant fluctuations. The battery-powered receiver then uses Bluetooth to periodically upload data from the stickers to a smartphone, computer or other permanent storage system. The initial version of the stickers relied on tiny motion sensors to take respiration and pulse readings. The researchers are now studying how to integrate sweat, temperature and other sensors into their antenna systems. To move their technology beyond clinical applications and into consumer-friendly devices, the researchers need to overcome another challenge – keeping the sensor and receiver close to each other. In their experiments, the researchers clipped a receiver on clothing just above each sensor. One-to-one pairings of sensors and receivers would be fine in medical monitoring, but to create a BodyNet that someone could wear while exercising, antennas would have to be woven into clothing to receive and transmit signals no matter where a person sticks a sensor. Bao is also a senior fellow of the Precourt Institute for Energy, a member of Stanford Bio-X, a faculty fellow of Stanford ChEM-H, an affiliate of the Stanford Woods Institute for the Environment and a member of the Wu Tsai Neurosciences Institute. Other Stanford co-authors are Jeffrey B.-H. Tok, research scientist; Ada Poon, associate professor of electrical engineering; William Burnett, adjunct professor of mechanical engineering; postdoctoral scholars Yuanwen Jiang and Jinxing Li; graduate student Jiechen Wang; and former visiting scholar Youngjun Yun and former postdoctoral scholars Sihong Wang, Xuzhou Yan and Levent Beker. Researchers from Singapore’s Nanyang Technological University also co-authored the study. This research was supported by Samsung Electronics; the Singapore Agency for Science, Technology and Research; the Japan Society for the Promotion of Science; and the Stanford Precision Health and Integrated Diagnosis Center. To read all stories about Stanford science, subscribe to the biweekly Stanford Science Digest. ",Electronics and Technology,0.15829822278684325
9,Science Daily,Tiny Lensless Endoscope Captures 3D Images of Objects Smaller Than a Cell,Matter & Energy,2019-08-15,-,https://www.sciencedaily.com/releases/2019/08/190815180631.htm,"   As a minimally invasive tool for imaging features inside living tissues, the extremely thin endoscope could enable a variety of research and medical applications. The research will be presented at the Frontiers in Optics + Laser Science (FIO + LS) conference, held September 15-19 in Washington, D.C., U.S.A. According to Juergen W. Czarske, Director and C4-Professor at TU Dresden, Germany and lead author on the paper: ""The lensless fiber endoscope is approximately the size of a needle, allowing it to have minimally invasive access and high-contrast imaging as well as stimulation with a robust calibration against bending or twisting of the fiber."" The endoscope is likely to be especially useful for optogenetics -- research approaches that use light to stimulate cellular activity. It also could prove useful for monitoring cells and tissues during medical procedures as well as for technical inspections. A self-calibrating system Conventional endoscopes use cameras and lights to capture images inside the body. In recent years researchers have developed alternative ways to capture images through optical fibers, eliminating the need for bulky cameras and other bulky components, allowing for significantly thinner endoscopes. Despite their promise, however, these technologies suffer from limitations such as an inability to tolerate temperature fluctuations or bending and twisting of the fiber. A major hurdle to making these technologies practical is that they require complicated calibration processes, in many cases while the fiber is collecting images. To address this, the researchers added a thin glass plate, just 150 microns thick, to the tip of a coherent fiber bundle, a type of optical fiber that is commonly used in endoscopy applications. The coherent fiber bundle used in the experiment was about 350 microns wide and consisted of 10,000 cores. When the central fiber core is illuminated, it emits a beam that is reflected back into the fiber bundle and serves as a virtual guide star for measuring how the light is being transmitted, known as the optical transfer function. The optical transfer function provides crucial data the system uses to calibrate itself on the fly. Keeping the view in focus A key component of the new setup is a spatial light modulator, which is used to manipulate the direction of the light and enable remote focusing. The spatial light modulator compensates the optical transfer function and images onto the fiber bundle. The back-reflected light from the fiber bundle is captured on the camera and superposed with a reference wave to measure the light's phase. The position of the virtual guide star determines the instrument's focus, with a minimal focus diameter of approximately one micron. The researchers used an adaptive lens and a 2D galvometer mirror to shift the focus and enable scanning at different depths. Demonstrating 3D imaging The team tested their device by using it to image a 3D specimen under a 140-micron thick cover slip. Scanning the image plane in 13 steps over 400 microns with an image rate of 4 cycles per second, the device successfully imaged particles at the top and bottom of the 3D specimen. However, its focus deteriorated as the galvometer mirror's angle increased. The researchers suggest future work could address this limitation. In addition, using a galvometer scanner with a higher frame rate could allow faster image acquisition. ""The novel approach enables both real-time calibration and imaging with minimal invasiveness, important for in-situ 3D imaging, lab-on-a-chip-based mechanical cell manipulation, deep tissue in vivo optogenetics, and key-hole technical inspections,"" said Czarske. ",Electronics and Technology,0.15783245445602428
