,Source,Heading,Category,Date,Time,URL,Text,Category_predicted,weights
0,ACM,Research Alliance Cements Split on AI Ethics,ACM,2019-08-23,-,https://www.insidehighered.com/news/2019/08/23/new-research-alliance-cements-split-ai-ethics,"    Research Alliance Cements Split on AI Ethics     Inside Higher EdDavid MatthewsAugust 23, 2019   Germany, France, and Japan have partnered to underwrite research into human-centered artificial intelligence (AI), designed to respect privacy and transparency. The three countries issued a joint call for proposals, supported by an initial 7.4-million-euro ($8.2-million) in funding. The German Research Foundation's Susanne Sangenstedt said the partnering nations have common beliefs and standards for ethical AI development, with the call for research proposals seeking projects on AI democratization, data integrity for fairness, AI ethics to avoid gender/age discrimination, and technologies like machine learning, computer vision, and data mining. Holger Hoos at Leiden University in the Netherlands said China has put AI development under the control of the government-state, while the U.S. has permitted the private sector to oversee development. In contrast, Europe's approach has been to try to strike a balance among ""government, industry, and individual.""                 ",Computer Science,0.17696154796222385
1,ACM,Tech Tool Aims to Stop 'Bottlenecks' in Reaching U.K. Homeless,ACM,2019-08-28,-,https://www.reuters.com/article/us-britain-homelessness-technology/tech-tool-aims-to-stop-bottlenecks-in-reaching-uk-homeless-idUSKCN1VI2B4,"    Tech Tool Aims to Stop 'Bottlenecks' in Reaching U.K. Homeless     ReutersSonia ElksAugust 28, 2019   The Homeless Link charity in the U.K. hopes to use a new algorithm to extend its aid to the homeless. The organization’s StreetLink app allows members of the public to flag the locations of “rough sleepers” (the homeless), and to request help for them from relevant local authorities or outreach organizations. The algorithm, developed by a team of students and technology workers, is designed to identify the most useful alerts in order to boost the number of homeless people offered assistance. Matt Harrison of the Streetlink organization, which works to connect the homeless with local services that can help them, said, ""If we can prioritize our scarce resources on the alerts which are mostly likely to result in a homeless person being found and helped, then we should do that.""                 ",Computer Science,0.17686633635870452
2,MIT News,MIT’s fleet of autonomous boats can now shapeshift,Research,2019-08-29,-,http://news.mit.edu/2019/roboats-autonomous-connect-assemble-0829,"  MIT’s fleet of robotic boats has been updated with new capabilities to “shapeshift,” by autonomously disconnecting and reassembling into a variety of configurations, to form floating structures in Amsterdam’s many canals. The autonomous boats — rectangular hulls equipped with sensors, thrusters, microcontrollers, GPS modules, cameras, and other hardware — are being developed as part of the ongoing “Roboat” project between MIT and the Amsterdam Institute for Advanced Metropolitan Solutions (AMS Institute). The project is led by MIT professors Carlo Ratti, Daniela Rus, Dennis Frenchman, and Andrew Whittle. In the future, Amsterdam wants the roboats to cruise its 165 winding canals, transporting goods and people, collecting trash, or self-assembling into “pop-up” platforms — such as bridges and stages — to help relieve congestion on the city’s busy streets. In 2016, MIT researchers tested a roboat prototype that could move forward, backward, and laterally along a preprogrammed path in the canals. Last year, researchers designed low-cost, 3-D-printed, one-quarter scale versions of the boats, which were more efficient and agile, and came equipped with advanced trajectory-tracking algorithms. In June, they created an autonomous latching mechanism that let the boats target and clasp onto each other, and keep trying if they fail. In a new paper presented at the last week’s IEEE International Symposium on Multi-Robot and Multi-Agent Systems, the researchers describe an algorithm that enables the roboats to smoothly reshape themselves as efficiently as possible. The algorithm handles all the planning and tracking that enables groups of roboat units to unlatch from one another in one set configuration, travel a collision-free path, and reattach to their appropriate spot on the new set configuration. In demonstrations in an MIT pool and in computer simulations, groups of linked roboat units rearranged themselves from straight lines or squares into other configurations, such as rectangles and “L” shapes. The experimental transformations only took a few minutes. More complex shapeshifts may take longer, depending on the number of moving units — which could be dozens — and differences between the two shapes.  “We’ve enabled the roboats to now make and break connections with other roboats, with hopes of moving activities on the streets of Amsterdam to the water,” says Rus, director of the Computer Science and Artificial Intelligence Laboratory (CSAIL) and the Andrew and Erna Viterbi Professor of Electrical Engineering and Computer Science. “A set of boats can come together to form linear shapes as pop-up bridges, if we need to send materials or people from one side of a canal to the other. Or, we can create pop-up wider platforms for flower or food markets.” Joining Rus on the paper are: Ratti, director of MIT’s Senseable City Lab, and, also from the lab, first author Banti Gheneti, Ryan Kelly, and Drew Meyers, all researchers; postdoc Shinkyu Park; and research fellow Pietro Leoni. Collision-free trajectories For their work, the researchers had to tackle challenges with autonomous planning, tracking, and connecting groups of roboat units. Giving each unit unique capabilities to, for instance, locate each other, agree on how to break apart and reform, and then move around freely, would require complex communication and control techniques that could make movement inefficient and slow. To enable smoother operations, the researchers developed two types of units: coordinators and workers. One or more workers connect to one coordinator to form a single entity, called a “connected-vessel platform” (CVP). All coordinator and worker units have four propellers, a wireless-enabled microcontroller, and several automated latching mechanisms and sensing systems that enable them to link together. Coordinators, however, also come equipped with GPS for navigation, and an inertial measurement unit (IMU), which computes localization, pose, and velocity. Workers only have actuators that help the CVP steer along a path. Each coordinator is aware of and can wirelessly communicate with all connected workers. Structures comprise multiple CVPs, and individual CVPs can latch onto one another to form a larger entity. During shapeshifting, all connected CVPs in a structure compare the geometric differences between its initial shape and new shape. Then, each CVP determines if it stays in the same spot and if it needs to move. Each moving CVP is then assigned a time to disassemble and a new position in the new shape. Each CVP uses a custom trajectory-planning technique to compute a way to reach its target position without interruption, while optimizing the route for speed. To do so, each CVP precomputes all collision-free regions around the moving CVP as it rotates and moves away from a stationary one. After precomputing those collision-free regions, the CVP then finds the shortest trajectory to its final destination, which still keeps it from hitting the stationary unit. Notably, optimization techniques are used to make the whole trajectory-planning process very efficient, with the precomputation taking little more than 100 milliseconds to find and refine safe paths. Using data from the GPS and IMU, the coordinator then estimates its pose and velocity at its center of mass, and wirelessly controls all the propellers of each unit and moves into the target location. In their experiments, the researchers tested three-unit CVPs, consisting of one coordinator and two workers, in several different shapeshifting scenarios. Each scenario involved one CVP unlatching from the initial shape and moving and relatching to a target spot around a second CVP. Three CVPs, for instance, rearranged themselves from a connected straight line — where they were latched together at their sides — into a straight line connected at front and back, as well as an “L.” In computer simulations, up to 12 roboat units rearranged themselves from, say, a rectangle into a square or from a solid square into a Z-like shape.  Scaling up Experiments were conducted on quarter-sized roboat units, which measure about 1 meter long and half a meter wide. But the researchers believe their trajectory-planning algorithm will scale well in controlling full-sized units, which will measure about 4 meters long and 2 meters wide. The researchers hope to use the roboats to form into a dynamic “bridge” across a 60-meter canal between the NEMO Science Museum in Amsterdam’s city center and an area that’s under development. Called RoundAround, the idea is to employ roboats to sail in a continuous circle across the canal, picking up and dropping off passengers at docks and stopping or rerouting when they detect anything in the way. Currently, walking around that waterway takes about 10 minutes, but the bridge can cut that time to around two minutes. This is still an explorative concept. “This will be the world’s first bridge comprised of a fleet of autonomous boats,” Ratti says. “A regular bridge would be super expensive, because you have boats going through, so you’d need to have a mechanical bridge that opens up or a very high bridge. But we can connect two sides of canal [by using] autonomous boats that become dynamic, responsive architecture that float on the water.” To reach that goal, the researchers are further developing the roboats to ensure they can safely hold people, and are robust to all weather conditions, such as heavy rain. They’re also making sure the roboats can effectively connect to the sides of the canals, which can vary greatly in structure and design. ",Computer Science,0.17426779937633452
3,MIT News,MIT engineers build advanced microprocessor out of carbon nanotubes,Electronics and Technology,2019-08-28,-,http://news.mit.edu/2019/carbon-nanotubes-microprocessor-0828,"  After years of tackling numerous design and manufacturing challenges, MIT researchers have built a modern microprocessor from carbon nanotube transistors, which are widely seen as a faster, greener alternative to their traditional silicon counterparts. The microprocessor, described today in the journal Nature, can be built using traditional silicon-chip fabrication processes, representing a major step toward making carbon nanotube microprocessors more practical. Silicon transistors — critical microprocessor components that switch between 1 and 0 bits to carry out computations — have carried the computer industry for decades. As predicted by Moore’s Law, industry has been able to shrink down and cram more transistors onto chips every couple of years to help carry out increasingly complex computations. But experts now foresee a time when silicon transistors will stop shrinking, and become increasingly inefficient. Making carbon nanotube field-effect transistors (CNFET) has become a major goal for building next-generation computers. Research indicates CNFETs have properties that promise around 10 times the energy efficiency and far greater speeds compared to silicon. But when fabricated at scale, the transistors often come with many defects that affect performance, so they remain impractical. The MIT researchers have invented new techniques to dramatically limit defects and enable full functional control in fabricating CNFETs, using processes in traditional silicon chip foundries. They demonstrated a 16-bit microprocessor with more than 14,000 CNFETs that performs the same tasks as commercial microprocessors. The Nature paper describes the microprocessor design and includes more than 70 pages detailing the manufacturing methodology. The microprocessor is based on the RISC-V open-source chip architecture that has a set of instructions that a microprocessor can execute. The researchers’ microprocessor was able to execute the full set of instructions accurately. It also executed a modified version of the classic “Hello, World!” program, printing out, “Hello, World! I am RV16XNano, made from CNTs.” “This is by far the most advanced chip made from any emerging nanotechnology that is promising for high-performance and energy-efficient computing,” says co-author Max M. Shulaker, the Emanuel E Landsman Career Development Assistant Professor of Electrical Engineering and Computer Science (EECS) and a member of the Microsystems Technology Laboratories. “There are limits to silicon. If we want to continue to have gains in computing, carbon nanotubes represent one of the most promising ways to overcome those limits. [The paper] completely re-invents how we build chips with carbon nanotubes.” Joining Shulaker on the paper are: first author and postdoc Gage Hills, graduate students Christian Lau, Andrew Wright, Mindy D. Bishop, Tathagata Srimani, Pritpal Kanhaiya, Rebecca Ho, and Aya Amer, all of EECS; Arvind, the Johnson Professor of Computer Science and Engineering and a researcher in the Computer Science and Artificial Intelligence Laboratory; Anantha Chandrakasan, the dean of the School of Engineering and the Vannevar Bush Professor of Electrical Engineering and Computer Science; and Samuel Fuller, Yosi Stein, and Denis Murphy, all of Analog Devices. Fighting the “bane” of CNFETs The microprocessor builds on a previous iteration designed by Shulaker and other researchers six years ago that had only 178 CNFETs and ran on a single bit of data. Since then, Shulaker and his MIT colleagues have tackled three specific challenges in producing the devices: material defects, manufacturing defects, and functional issues. Hills did the bulk of the microprocessor design, while Lau handled most of the manufacturing. For years, the defects intrinsic to carbon nanotubes have been a “bane of the field,” Shulaker says. Ideally, CNFETs need semiconducting properties to switch their conductivity on an off, corresponding to the bits 1 and 0. But unavoidably, a small portion of carbon nanotubes will be metallic, and will slow or stop the transistor from switching. To be robust to those failures, advanced circuits will need carbon nanotubes at around 99.999999 percent purity, which is virtually impossible to produce today.   The researchers came up with a technique called DREAM (an acronym for “designing resiliency against metallic CNTs”), which positions metallic CNFETs in a way that they won’t disrupt computing. In doing so, they relaxed that stringent purity requirement by around four orders of magnitude — or 10,000 times — meaning they only need carbon nanotubes at about 99.99 percent purity, which is currently possible. Designing circuits basically requires a library of different logic gates attached to transistors that can be combined to, say, create adders and multipliers — like combining letters in the alphabet to create words. The researchers realized that the metallic carbon nanotubes impacted different pairings of these gates differently. A single metallic carbon nanotube in gate A, for instance, may break the connection between A and B. But several metallic carbon nanotubes in gates B may not impact any of its connections. In chip design, there are many ways to implement code onto a circuit. The researchers ran simulations to find all the different gate combinations that would be robust and wouldn’t be robust to any metallic carbon nanotubes. They then customized a chip-design program to automatically learn the combinations least likely to be affected by metallic carbon nanotubes. When designing a new chip, the program will only utilize the robust combinations and ignore the vulnerable combinations. “The ‘DREAM’ pun is very much intended, because it’s the dream solution,” Shulaker says. “This allows us to buy carbon nanotubes off the shelf, drop them onto a wafer, and just build our circuit like normal, without doing anything else special.” Exfoliating and tuning CNFET fabrication starts with depositing carbon nanotubes in a solution onto a wafer with predesigned transistor architectures. However, some carbon nanotubes inevitably stick randomly together to form big bundles — like strands of spaghetti formed into little balls — that form big particle contamination on the chip.   To cleanse that contamination, the researchers created RINSE (for “removal of incubated nanotubes through selective exfoliation”). The wafer gets pretreated with an agent that promotes carbon nanotube adhesion. Then, the wafer is coated with a certain polymer and dipped in a special solvent. That washes away the polymer, which only carries away the big bundles, while the single carbon nanotubes remain stuck to the wafer. The technique leads to about a 250-times reduction in particle density on the chip compared to similar methods. Lastly, the researchers tackled common functional issues with CNFETs. Binary computing requires two types of transistors: “N” types, which turn on with a 1 bit and off with a 0 bit, and “P” types, which do the opposite. Traditionally, making the two types out of carbon nanotubes has been challenging, often yielding transistors that vary in performance. For this solution, the researchers developed a technique called MIXED (for “metal interface engineering crossed with electrostatic doping”), which precisely tunes transistors for function and optimization. In this technique, they attach certain metals to each transistor — platinum or titanium — which allows them to fix that transistor as P or N. Then, they coat the CNFETs in an oxide compound through atomic-layer deposition, which allows them to tune the transistors’ characteristics for specific applications. Servers, for instance, often require transistors that act very fast but use up energy and power. Wearables and medical implants, on the other hand, may use slower, low-power transistors.   The main goal is to get the chips out into the real world. To that end, the researchers have now started implementing their manufacturing techniques into a silicon chip foundry through a program by Defense Advanced Research Projects Agency, which supported the research. Although no one can say when chips made entirely from carbon nanotubes will hit the shelves, Shulaker says it could be fewer than five years. “We think it’s no longer a question of if, but when,” he says. The work was also supported by Analog Devices, the National Science Foundation, and the Air Force Research Laboratory. ",Electronics and Technology,0.16397905147888495
4,MIT News,Ultrathin 3-D-printed films convert energy of one form into another,Electronics and Technology,2019-08-28,-,http://news.mit.edu/2019/3-d-printed-piezoelectric-films-0828,"  MIT researchers have developed a simple, low-cost method to 3-D print ultrathin films with high-performing “piezoelectric” properties, which could be used for components in flexible electronics or highly sensitive biosensors. Piezoelectric materials produce a voltage in response to physical strain, and they respond to a voltage by physically deforming. They’re commonly used for transducers, which convert energy of one form into another. Robotic actuators, for instance, use piezoelectric materials to move joints and parts in response to an electrical signal. And various sensors use the materials to convert changes in pressure, temperature, force, and other physical stimuli, into a measurable electrical signal. Researchers have been trying for years to develop piezoelectric ultrathin films that can be used as energy harvesters, sensitive pressure sensors for touch screens, and other components in flexible electronics. The films could also be used as tiny biosensors that are sensitive enough to detect the presence of molecules that are biomarkers for certain diseases and conditions. The material of choice for those applications is often a type of ceramic with a crystal structure that resonates at high frequencies due to its extreme thinness. (Higher frequencies basically translate to faster speeds and higher sensitivity.) But, with traditional fabrication techniques, creating ceramic ultrathin films is a complex and expensive process. In a paper recently published in the journal Applied Materials and Interfaces, the MIT researchers describe a way to 3-D print ceramic transducers about 100 nanometers thin by adapting an additive manufacturing technique for the process that builds objects layer by layer, at room temperature. The films can be printed in flexible substrates with no loss in performance, and can resonate at around 5 gigahertz, which is high enough for high-performance biosensors. “Making transducing components is at the heart of the technological revolution,” says Luis Fernando Velásquez-García, a researcher in the Microsystems Technology Laboratories (MTL) in the Department of Electrical Engineering and Computer Science. “Until now, it’s been thought 3-D-printed transducing materials will have poor performances. But we’ve developed an additive fabrication method for piezoelectric transducers at room temperature, and the materials oscillate at gigahertz-level frequencies, which is orders of magnitude higher than anything previously fabricated through 3-D printing.” Joining Velásquez-García on the paper is first author Brenda García-Farrera of MTL and the Monterrey Institute of Technology and Higher Education in Mexico. Electrospraying nanoparticles Ceramic piezoelectric thin films, made of aluminum nitride or zinc oxide, can be fabricated through physical vapor deposition and chemical vapor deposition. But those processes must be completed in sterile clean rooms, under high temperature and high vacuum conditions. That can be a time-consuming, expensive process. There are lower-cost 3-D-printed piezoelectric thin films available. But those are fabricated with polymers, which must be “poled”— meaning they must be given piezoelectric properties after they’re printed. Moreover, those materials usually end up tens of microns thick and thus can’t be made into ultrathin films capable of high-frequency actuation. The researchers’ system adapts an additive fabrication technique, called near-field electrohydrodynamic deposition (NFEHD), which uses high electric fields to eject a liquid jet through a nozzle to print an ultrathin film. Until now, the technique has not been used to print films with piezoelectric properties. The researchers’ liquid feedstock — raw material used in 3-D printing — contains zinc oxide nanoparticles mixed with some inert solvents, which forms into a piezoelectric material when printed onto a substrate and dried. The feedstock is fed through a hollow needle in a 3-D printer. As it prints, the researchers apply a specific bias voltage to the tip of the needle and control the flow rate, causing the meniscus — the curve seen at the top of a liquid — to form into a cone shape that ejects a fine jet from its tip. The jet is naturally inclined to break into droplets. But when the researchers bring the tip of the needle close to the substrate — about a millimeter — the jet doesn’t break apart. That process prints long, narrow lines on a substrate. They then overlap the lines and dry them at about 76 degrees Fahrenheit, hanging upside down. Printing the film precisely that way creates an ultrathin film of crystal structure with piezoelectric properties that resonates at about 5 gigahertz. “If anything of that process is missing, it doesn’t work,” Velásquez-García says. Using microscopy techniques, the team was able to prove that the films have a much stronger piezoelectric response — meaning the measurable signal it emits — than films made through traditional bulk fabrication methods. Those methods don’t really control the film’s piezoelectric axis direction, which determines the material’s response. “That was a little surprising,” Velásquez-García says. “In those bulk materials, they may have inefficiencies in the structure that affect performance. But when you can manipulate materials at the nanoscale, you get a stronger piezoelectric response.” Low-cost sensors Because the piezoelectric ultrathin films are 3-D printed and resonate at very high frequencies, they can be leveraged to fabricate low-cost, highly sensitive sensors. The researchers are currently working with colleagues in Monterrey Tec as part of a collaborative program in nanoscience and nanotechnology, to make piezoelectric biosensors to detect biomarkers for certain diseases and conditions. A resonating circuit is integrated into these biosensors, which makes the piezoelectric ultrathin film oscillate at a specific frequency, and the piezoelectric material can be functionalized to attract certain molecule biomarkers to its surface. When the molecules stick to the surface, it causes the piezoelectric material to slightly shift the frequency oscillations of the circuit. That small frequency shift can be measured and correlated to a certain amount of the molecule that piles up on its surface. The researchers are also developing a sensor to measure the decay of electrodes in fuel cells. That would function similarly to the biosensor, but the shifts in frequency would correlate to the degradation of a certain alloy in the electrodes. “We’re making sensors that can diagnose the health of fuel cells, to see if they need to be replaced,” Velásquez-García says. “If you assess the health of these systems in real time, you can make decisions about when to replace them, before something serious happens.” ",Electronics and Technology,0.16246279803318173
5,ACM,Giving Smart Vehicles Their Sense of Direction,ACM,2019-08-27,-,https://www.udel.edu/udaily/2019/august/smart-vehicles-sense-direction-algorithms-guoquan-huang/,"       Giving Smart Vehicles Their Sense of Direction     University of DelawareJulie StewartAugust 27, 2019   The University of Delaware's Guoquan Huang has developed algorithms to advance simultaneous localization and mapping (SLAM) as a technique for giving autonomous vehicles a sense of direction. Huang employs visual-inertial navigation systems, integrating cameras and inertial sensors to measure orientation and acceleration. The researcher then calculates motion and localization from the data collected by these components. Huang and colleagues have more accurately combined inertial measurements than previously possible via discrete-integration calculus, and open-sourced it on GitHub. The team also reconfigured SLAM as a formula for computing small increments of movement by sensor-equipped robots.                 ",Computer Science,0.15412933865848555
6,IEEE,AI at the Speed of Light,Electronics and Technology,2019-08-29,-,https://spectrum.ieee.org/tech-talk/semiconductors/optoelectronics/ai-at-speed-of-light,"      Neural networks shine for solving tough problems such as facial and voice recognition, but conventional electronic versions are limited in speed and hungry for power. In theory, optics could beat digital electronic computers in the matrix calculations used in neural networks. However, optics had been limited by their inability to do some complex calculations that had required electronics. Now new experiments show that all-optical neural networks can tackle those problems.  The key attraction of neural networks is their massive interconnections among processors, comparable to the complex interconnections among neurons in the brain. This lets them perform many operations simultaneously, like the human brain does when looking at faces or listening to speech, making them more efficient for facial and voice recognition than traditional electronic computers that execute one instruction at a time. Today  electronic neural networks have reached eight million neurons, but their future use in artificial intelligence may be limited by their high power usage and limited parallelism in connections. Optical connections through lenses are inherently parallel. The lens in your eye simultaneously focuses light from across your field of view onto the retina in the back of your eye, where an array of light-detecting nerve cells detects the light. Each cell then relays the signal it receives to neurons in the brain that process the visual signals to show us an image. Glass lenses process optical signals by focusing light, which performs a complex mathematical operation called a Fourier transform that preserves the information in the original scene but rearranges is completely. One use of Fourier transforms is converting time variations in signal intensity into a plot of the frequencies present in the signal. The military used this trick in the 1950s to convert raw radar return signals recorded by an aircraft in flight into a three-dimensional image of the landscape viewed by the plane. Today that conversion is done electronically, but the vacuum-tube computers of the 1950s were not up to the task. Development of neural networks for artificial intelligence started with electronics, but their AI applications have been limited by their slow processing and need for extensive computing resources. Some researchers have developed hybrid neural networks, in which optics perform simple linear operations, but electronics perform more complex nonlinear calculations. Now two groups have demonstrated simple all-optical neural networks that do all processing with light. In May, Wolfram Pernice of the Institute of Physics at the University of Münster in Germany and colleagues reported testing an all-optical ""neuron"" in which signals change target materials between liquid and solid states, an effect that has been used for optical data storage. They demonstrated nonlinear processing, and produced output pulses like those from organic neurons. They then produced an integrated photonic circuit that incorporated four optical neurons operating at different wavelengths, each of which connected to 15 optical synapses. The photonic circuit contained more than 140 components and could recognize simple optical patterns. The group wrote that their device is scalable, and that the technology promises ""access to the high speed and high bandwidth inherent to optical systems, thus enabling the direct processing of optical telecommunication and visual data.”  Now a group at the Hong Kong University of Science and Technology reports in Optica that they have made an all-optical neural network based on a different process, electromagnetically induced transparency, in which incident light affects how atoms shift between quantum-mechanical energy levels. The process is nonlinear and can be triggered by very weak light signals, says Shengwang Du, a physics professor and coauthor of the paper. In their demonstration, they illuminated rubidium-85 atoms cooled by lasers to about 10 microKelvin (10 microdegrees above absolute zero). Although the technique may seem unusually complex, Du said the system was the most accessible one in the lab that could produce the desired effects. ""As a pure quantum atomic system [it] is ideal for this proof-of-principle experiment,"" he says. Next, they plan to scale up the demonstration using a hot atomic vapor center, which is less expensive, does not require time-consuming preparation of cold atoms, and can be integrated with photonic chips. Du says the major challenges are reducing cost of the nonlinear processing medium and increasing the scale of the all-optical neural network for more complex tasks. ""Their demonstration seems valid,"" says Volker Sorger, an electrical engineer at George Washington University in Washington who was not involved in either demonstration. He says the all-optical approach is attractive because it offers very high parallelism, but the update rate is limited to about 100 hertz because of the liquid crystals used in their test, and he is not completely convinced their approach can be scaled error-free.    Receive latest technology science and technology news & analysis from IEEE Spectrum every Thursday.  IEEE Spectrum’s general technology blog, featuring news, analysis, and opinions about engineering, consumer electronics, and technology and society, from the editorial staff and freelance contributors. Featured Jobs © Copyright 2019 IEEE — All rights reserved. Use of this Web site signifies your agreement to the IEEE Terms and Conditions.  A not-for-profit organization, IEEE is the world  largest technical professional organization dedicated to advancing technology for the benefit of humanity.",Computer Science,0.1531173856591807
7,ACM,Computational Approach Speeds Advanced Microscopy Imaging,ACM,2019-08-27,-,https://www.osa.org/en-us/about_osa/newsroom/news_releases/2019/computational_approach_speeds_up_advanced_microsco/,"       Computational Approach Speeds Advanced Microscopy Imaging     Optical Society of AmericaAugust 27, 2019   Researchers at the Chinese University of Hong Kong (CUHK) combined multifocus compressive imaging with faster compressive scanning to accelerate the imaging speed of two-photon microscopy without sacrificing resolution. CUHK's Chenyang Wen said, ""This ... will be useful for visualizing a neural network, or monitoring activity from hundreds of neurons simultaneously."" The researchers said the technique is faster because it requires fewer exposures; it performs both sampling and image compression at once, followed by the implementation of an algorithm that fills in any missing information The methodology enables high-quality image production with imaging speeds up to five times faster from any field of view.                 ",Computer Science,0.15018931681086484
8,ACM,AI Analysis Gives Guidance to Crisis Counselors,ACM,2019-08-21,-,https://news.cornell.edu/stories/2019/08/ai-analysis-gives-guidance-crisis-counselors,"    AI Analysis Gives Guidance to Crisis Counselors     Cornell Chronicle (NY)Louis DiPietroAugust 21, 2019   A study by Cornell University researchers and the Crisis Text Line crisis-counselor platform described how volunteer crisis counselors' use of language evolves. The team used state-of-the-art natural language processing to learn that the language employed by counselors systematically changes, based on their training and empathy for callers in distress, giving rise to unique voices for calming those distressed individuals. The researchers analyzed more than 1 million anonymized texts from about 3,500 counselors on the Crisis Text Line. Crisis Text Line's Robert Filbin said the study' insights will help the platform train and guide crisis counselors. Cornell's Cristian Danescu-Niculescu-Mizil said, ""This is an example of how natural language processing techniques can assist the development of skills in conversation-heavy professions.""                 ",Computer Science,0.14846270115669905
9,IEEE,A Carbon Nanotube Microprocessor Mature Enough to Say Hello,Electronics and Technology,2019-08-28,-,https://spectrum.ieee.org/nanoclast/semiconductors/processors/modern-microprocessor-built-using-carbon-nanotubes,"      Engineers at MIT and Analog Devices have created the first fully-programmable 16-bit carbon nanotube microprocessor. It’s the most complex integration of carbon nanotube-based CMOS logic so far, with nearly 15,000 transistors, and it was done using technologies that have already been proven to work in a commercial chip-manufacturing facility. The processor, called RV16X-NANO, is a milestone in the development of beyond-silicon technologies, its inventors say.  Unlike silicon transistors, nanotube devices can easily be made in multiple layers with dense 3D interconnections. The Defense Advanced Research Projects Agency is hoping this 3D aspect will lead to commercial carbon nanotube (CNT) chips with the performance of today’s cutting-edge silicon but without the high design and manufacturing cost. Some of the same researchers created a modest one-bit, 178-transistor processor back in 2013. In contrast, the new one, which is based on the open source RISC-V instruction set, is capable of working with 16-bit data and 32-bit instructions. Naturally, the team, led by MIT assistant professor Max Shulaker, tested the chip by running a version of the obligatory “Hello, World!” program. They reported the achievement this week in Nature. “Ten years ago, we hoped this was possible,” says Shulaker. “Now we know it is possible… and we know it can be done in commercial facilities.” Shulaker’s team, along with engineers at Analog Devices and, later, Skywater Technology Foundry, developed three commercially-viable techniques to create the RV16X-NANO. Two dealt with stubborn issues of carbon nanotube purity and uniformity, and the third allowed for the creation of both n-type and p-type transistors to form complementary logic circuits. 1. When making CNT transistors, the nanotubes are first put into a solution and spread across a silicon wafer. Most of the nanotubes lie uniformly on the silicon, but every once in a while, they ball up into bundles of a thousand or more. These bundles can’t form transistors. When building small-scale test circuits, this was no big deal, Shulaker explains, because even if they killed one circuit, another would work. But for a large-scale integration like for the RV16X-NANO these nanotube-pile-ups would be common enough to mess up the whole processor. RINSE, a solution one of Shulaker’s students, Christian Lau, arrived at, relies on the fact that individual nanotubes are stuck to the substrate by Van Der Waals forces more strongly than bundles are. By first coating the nanotube-covered substrate with a photo resist and then carefully washing it away—under just the right conditions—the process selectively removes the bundles but leaves the individual CNTs. 2. While RINSE dealt with one carbon-nanotube impurity, another purity problem nearly crashed the whole project. CNTs have always come in two basic flavors, metallic and semiconducting. Having some metallic nanotubes in a CNT-based logic gate means the circuit will waste power and produce a noisy signal. But how many metallic nanotubes is too many when you’re trying to build a full-scale processor? “It’s a very basic question,” says Shulaker. And to his surprise, it hadn’t been answered. The answer his team came up with was “pretty depressing.” The best today’s commercial processes could produce is 99.99 percent semiconducting nanotubes and 0.01 percent metallic. But what’s needed is 99.999999 percent purity—impossibly far out of reach. “We thought, if we can’t process our way out of this… then somehow we had to design our way around it,” says Shulaker. The team found that, by far, the main driver for the needed purity was not the power issue but the noise. Amongst the many logic circuits they’d made, they found a pattern that suggested some combinations were much more susceptible to the noise problem than others. “So the solution at that point was simple: We’ll just design circuits with the good combinations of logic gates and avoid using the bad combinations.” DREAM, the set of design rules post-doctoral researcher Gage Hill came up with, allows large-scale integration using carbon nanotubes you can purchase off-the-shelf. 3. The third big breakthrough, called MIXED, allowed for the creation of the two types of transistors needed for CMOS logic, the kind in use in all-kinds of processors for decades. For that you need both electron-conducting (NMOS) and hole conducting (PMOS) transistors. Previous attempts at nanotube processors, such as the one-bit system Shulaker built as a graduate student, used only PMOS. In silicon, the distinction is achieved by doping the transistor’s channel region with different atoms to effectively add electrons to the silicon crystal lattice or steal some. But such “substitutional doping” doesn’t work for carbon nanotubes. “It’s difficult to swap out an atom without destroying the properties of the nanotube,” says Shulaker. So instead they turned to “electrostatic doping.” Here, a dielectric oxide is engineered to add or subtract electrons from the nanotube. Using a common semiconductor manufacturing technology called atomic layer deposition, the team was able to deposit dielectrics, such as halfnium dioxide, one atomic layer at a time. By manipulating the exact composition of the layer, say to have slightly fewer oxygens or a bit more, the oxide “wants to either donate electrons to the nanotube or steal from the nanotube,” explains Shulaker. Between careful selection of the metal electrodes involved and the ALD process, the researchers were able to reliably build PMOS and NMOS devices together. Crucially, MIXED is a low-temperature process, so the transistors can be built on top of other layers of circuitry without damaging them. In fact, the transistors in RV16X-NANO were built in between a layer of interconnects that provide power to the transistors and another layer that connects the transistors into logic gates and larger systems. Engineers are interested in such “buried power line” schemes in order to free up space that would allow for better-performing or smaller systems. But they are more difficult to achieve in silicon, in part because of high processing temperatures.  Monthly newsletter about how new materials, designs, and processes drive the chip industry.  IEEE Spectrum’s nanotechnology blog, featuring news and analysis about the development, applications, and future of science and technology at the nanoscale. Featured Jobs © Copyright 2019 IEEE — All rights reserved. Use of this Web site signifies your agreement to the IEEE Terms and Conditions.  A not-for-profit organization, IEEE is the world  largest technical professional organization dedicated to advancing technology for the benefit of humanity.",Electronics and Technology,0.14832517876684145
